description,category
I want to buy it,buy
Distributor or salesman associated with it,dship
How generator work?,work
Want to get the product,buy
Can I get the demo of product?,demo
Take care,bye
can anyone  demonstrate about it?,demo
Process to get the dealership,dship
Item which you are selling,products
How it runs and generate water?,work
If anyone wants to sell or resell,dship
Customers review on the generator,dship
How can we deal in this?,buy
Running procedure,work
I want to check the working,demo
What are the products available?,products
"See videos, photos of the machine",demo
Is there any trial or illustration of the generator?,demo
Power consumption,consume
Business point,dship
Good bye,bye
See you,bye
"Hello, how are you?",hello
Energy consumption,consume
What's up !,hello
I have to purchase the generator,buy
Electricity consumes,consume
I wish to invest in your product,buy
Hi,hello
Item on sale,products
how are you?,fine
how are you doing?,fine
introduce yourself,intro
who are you,intro
how are you,fine
how can I get water,buy
how can I buy awg,buy
how can I see awg,demo
how can I watch awg,demo
how much awg consume,consume
how awg works,work
buy,buy
get,buy
water,buy
hello,hello
resell,dship
how to demo,demo
how to demonstrate,demo
how to see demo,demo
how to watch demo,demo
how to get it,buy
how to contact,demo
contact,demo
demo,demo
distributorship,dship
work,work
consume,consume
electricity,consume
see,demo
buy,buy
demo,demo
bye,bye
buy,buy
see,fine
demo,demo
get awg,demo
dsa,fine
dsdsadesff edwedywgdbqeedwe,fine
how to buy water generator,buy
how does it work?,work
how to buy water generator,buy
i want to watch demo,demo
i want to buy water generator,buy
how much electricity does water generator consume?,consume
how to buy water generator,buy
how to buy water generator?,buy
how to buy water generator,buy
how to buy water generator?,buy
how does water generator work,work
how does water generator works,work
how does water generator work,work
how much electricity does water generator consume,consume
how much electricity does water generator consume,consume
how much electricity does water generator consumes,consume
product,buy
how much electricity does water generator consume,consume
item on sales,products
how can i watch demo,demo
how are you,fine
